cluster,keyword,volume,kd,intent,serp_features,seed
C6 geen-strijd-aan-tafel,als peuters weigeren te eten,0,,,,peuter-eten
C6 geen-strijd-aan-tafel,elke dag strijd met peuter met eten,0,,,,peuter-eten
C6 geen-strijd-aan-tafel,eten weigeren peuter,0,,,,peuter-eten
C6 geen-strijd-aan-tafel,mijn peuter weigert te eten,0,,,,peuter-eten
C6 geen-strijd-aan-tafel,peuter drama eten,0,,,,peuter-eten
C6 geen-strijd-aan-tafel,peuter drama tijdens eten,0,,,,peuter-eten
C6 geen-strijd-aan-tafel,peuter eten drama,0,,,,peuter-eten
C6 geen-strijd-aan-tafel,peuter wil niet eten aan tafel,0,,,,peuter-eten
C5 moeilijke-eter,moeilijke eter,50,8,Informational,"AI Overview, Reviews, Image pack, Video, People also ask, Related searches",moeilijke-eter
C5 moeilijke-eter,peuter moeilijke eter,50,11,Informational,"AI Overview, Video, People also ask, Related searches, Ads bottom",moeilijke-eter
C5 moeilijke-eter,groenten voor moeilijke eters,20,,,,moeilijke-eter
C5 moeilijke-eter,moeilijke eter peuter,20,16,Informational,"Sitelinks, AI Overview, People also ask, Related searches",moeilijke-eter
C5 moeilijke-eter,moeilijke eter test,20,,,,moeilijke-eter
C5 moeilijke-eter,moeilijke eters,20,,,,moeilijke-eter
C5 moeilijke-eter,moeilijke eters kinderen,20,,,,moeilijke-eter
C5 moeilijke-eter,moeilijke eters peuters,20,,,,moeilijke-eter
C5 moeilijke-eter,tips voor moeilijke eters,20,,,,moeilijke-eter
C5 moeilijke-eter,peuter 2 jaar slecht eten,20,,,,peuter-eten
C5 moeilijke-eter,peuter moeilijk eten,20,,,,peuter-eten
C5 moeilijke-eter,peuter slecht eten,20,,,,peuter-eten
C5 moeilijke-eter,peuters die slecht eten,20,,,,peuter-eten
C5 moeilijke-eter,ander woord voor moeilijke eter,10,,,,moeilijke-eter
C5 moeilijke-eter,de moeilijke eter test,10,,,,moeilijke-eter
C4a peuter-eet-geen-groente,peuter eet geen groente,50,8,Informational,"Sitelinks, AI Overview, Video, People also ask, Related searches",peuter-groente
C4a peuter-eet-geen-groente,mijn peuter eet geen groente,20,,,,peuter-groente
C4a peuter-eet-geen-groente,peuter eet geen groente meer,20,,,,peuter-groente
C4a peuter-eet-geen-groente,peuter eet geen groenten,20,,,,peuter-groente
C4a peuter-eet-geen-groente,peuter groente laten eten,20,,,,peuter-groente
C4a peuter-eet-geen-groente,peuter wil geen groente eten,20,,,,peuter-groente
C4a peuter-eet-geen-groente,peuter wil geen groenten eten,20,,,,peuter-groente
C4a peuter-eet-geen-groente,peuter wil geen groenten meer eten,20,,,,peuter-groente
C4a peuter-eet-geen-groente,peuter wil niks eten,20,,,,peuter-eten
C4a peuter-eet-geen-groente,peuter groente leren eten,10,,,,peuter-groente
C4b peuter-wil-niet-eten (general refusal),peuter wil niet eten,170,12,Informational,"AI Overview, Video, People also ask, Related searches",peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter die niet wil eten,140,11,Informational,"Sitelinks, AI Overview, Video, People also ask, Related searches, Ads middle",peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter wilt niet eten,140,11,Informational,"Sitelinks, AI Overview, Video, People also ask, Related searches",peuter-eten
C4b peuter-wil-niet-eten (general refusal),mijn peuter wil niet eten,30,9,Informational,"Sitelinks, Video, People also ask, Related searches",peuter-eten
C4b peuter-wil-niet-eten (general refusal),help mijn peuter wil niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),mijn peuter wilt niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter 2 5 wil niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter 2 jaar wil niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter 2 wil niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter 20 maanden wil niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter 3 jaar wil niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter eet geen warm eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter leren eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter niet willen eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter van 2 wil niet eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter wil geen warm eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter wil ineens niet meer eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter wil niet meer eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter wil niet warm eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuters die niet willen eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),tips om peuter te laten eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),wat als peuter niet wil eten,20,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter 2 5 jaar wil niet eten,10,,,,peuter-eten
C4b peuter-wil-niet-eten (general refusal),peuter wil geen warm eten meer,10,,,,peuter-eten
P kind-alles-leren-eten,kind eet geen groente,30,,,,kind-groente
P kind-alles-leren-eten,mijn kind eet geen groente,20,,,,kind-groente
P kind-alles-leren-eten,kind meer groente laten eten,10,,,,kind-groente
P kind-alles-leren-eten,kind wil geen groente eten,10,,,,kind-groente
